"id";"PredictorType";"P";"C";"predictor.eff";"prevy1";"datagen";"datacor";"margp.x";"alpha";"beta";"EPV";"folders"
25;"TypeI";4;0.75;"one.noise";0.125;"gen.MVNX";0;".";-2.29221535002796;0.582527172590275;3;"main00169"
25;"TypeI";4;0.75;"one.noise";0.125;"gen.MVNX";0;".";-2.29221535002796;0.582527172590275;5;"main00170"
25;"TypeI";4;0.75;"one.noise";0.125;"gen.MVNX";0;".";-2.29221535002796;0.582527172590275;10;"main00171"
25;"TypeI";4;0.75;"one.noise";0.125;"gen.MVNX";0;".";-2.29221535002796;0.582527172590275;15;"main00172"
25;"TypeI";4;0.75;"one.noise";0.125;"gen.MVNX";0;".";-2.29221535002796;0.582527172590275;20;"main00173"
25;"TypeI";4;0.75;"one.noise";0.125;"gen.MVNX";0;".";-2.29221535002796;0.582527172590275;30;"main00174"
25;"TypeI";4;0.75;"one.noise";0.125;"gen.MVNX";0;".";-2.29221535002796;0.582527172590275;50;"main00175"
26;"TypeI";4;0.75;"one.noise";0.5;"gen.MVNX";0;".";-0.000544560993233745;0.612748797620384;3;"main00176"
26;"TypeI";4;0.75;"one.noise";0.5;"gen.MVNX";0;".";-0.000544560993233745;0.612748797620384;5;"main00177"
26;"TypeI";4;0.75;"one.noise";0.5;"gen.MVNX";0;".";-0.000544560993233745;0.612748797620384;10;"main00178"
26;"TypeI";4;0.75;"one.noise";0.5;"gen.MVNX";0;".";-0.000544560993233745;0.612748797620384;15;"main00179"
26;"TypeI";4;0.75;"one.noise";0.5;"gen.MVNX";0;".";-0.000544560993233745;0.612748797620384;20;"main00180"
26;"TypeI";4;0.75;"one.noise";0.5;"gen.MVNX";0;".";-0.000544560993233745;0.612748797620384;30;"main00181"
26;"TypeI";4;0.75;"one.noise";0.5;"gen.MVNX";0;".";-0.000544560993233745;0.612748797620384;50;"main00182"
27;"TypeI";4;0.75;"one.noise";0.25;"gen.MVNX";0;".";-1.32964467293336;0.59923249889913;3;"main00183"
27;"TypeI";4;0.75;"one.noise";0.25;"gen.MVNX";0;".";-1.32964467293336;0.59923249889913;5;"main00184"
27;"TypeI";4;0.75;"one.noise";0.25;"gen.MVNX";0;".";-1.32964467293336;0.59923249889913;10;"main00185"
27;"TypeI";4;0.75;"one.noise";0.25;"gen.MVNX";0;".";-1.32964467293336;0.59923249889913;15;"main00186"
27;"TypeI";4;0.75;"one.noise";0.25;"gen.MVNX";0;".";-1.32964467293336;0.59923249889913;20;"main00187"
27;"TypeI";4;0.75;"one.noise";0.25;"gen.MVNX";0;".";-1.32964467293336;0.59923249889913;30;"main00188"
27;"TypeI";4;0.75;"one.noise";0.25;"gen.MVNX";0;".";-1.32964467293336;0.59923249889913;50;"main00189"
28;"TypeI";4;0.75;"one.noise";0.0625;"gen.MVNX";0;".";-3.0992796790236;0.566385722125709;3;"main00190"
28;"TypeI";4;0.75;"one.noise";0.0625;"gen.MVNX";0;".";-3.0992796790236;0.566385722125709;5;"main00191"
28;"TypeI";4;0.75;"one.noise";0.0625;"gen.MVNX";0;".";-3.0992796790236;0.566385722125709;10;"main00192"
28;"TypeI";4;0.75;"one.noise";0.0625;"gen.MVNX";0;".";-3.0992796790236;0.566385722125709;15;"main00193"
28;"TypeI";4;0.75;"one.noise";0.0625;"gen.MVNX";0;".";-3.0992796790236;0.566385722125709;20;"main00194"
